circuit,qubits,two_qbit_original,two_qbit_compiled,compilation_time_s,error,success,SQUANDER,Time,QSEARCH,Time
3_17_13.qasm,3,9,7,1.62,2.13E-11,TRUE,7,6.5,9,4.3
4gt11_82.qasm,5,15,14,508.12,2.31E-13,TRUE,15,883,19,1003
4gt11_83.qasm,5,13,10,62.77,9.83E-14,TRUE,13,1994,19,1107
4gt11_84.qasm,5,9,8,63.75,2.89E-11,TRUE,9,642,-,-
4gt13-v1_93.qasm,5,26,24,3683.34,1.29E-11,TRUE,23,2408,33,21315
4gt13_91.qasm,5,26,20,2213.36,1.19E-11,TRUE,23,1296,48,2324
4gt13_92.qasm,5,24,17,1427.22,1.12E-12,TRUE,24,1767,-,-
4gt5_75.qasm,5,25,23,4969.85,0.0000000046,TRUE,25,7002,49,33246
4gt5_76.qasm,5,22,22,2456.83,0.0747,FALSE,24,1711,-,-
4gt5_77.qasm,5,17,17,1039.62,1.22E-10,TRUE,19,2855,-,-
4mod5-v0_18.qasm,5,17,17,831.82,1.08E-12,TRUE,15,1134,-,-
4mod5-v0_19.qasm,5,17,11,231.44,1.09E-11,TRUE,13,701,-,-
4mod5-v0_20.qasm,5,9,7,16.98,4.48E-13,TRUE,9,3650,16,14508
4mod5-v1_22.qasm,5,9,7,9.42,3.06E-11,TRUE,9,962,17,82
4mod5-v1_23.qasm,5,13,12,405.27,0.271,FALSE,13,946,-,-
4mod5-v1_24.qasm,5,31,13,760.93,6.64E-13,TRUE,14,5081,52,3968
4mod7-v1_96.qasm,5,26,26,4297.05,0.00000000279,TRUE,33,10255,-,-
adder_q4.qasm,4,8,8,14.4,2.06E-12,TRUE,8,18,14,49
decod24-v0_38.qasm,4,14,10,28.18,4.71E-12,TRUE,14,62,15,285
decod24-v1_41.qasm,5,18,15,1313.07,5.69E-12,TRUE,20,2414,24,349
decod24-v2_43.qasm,4,9,9,18.69,3.7E-12,TRUE,9,93,17,1390
hlf_q5.qasm,5,8,8,10.66,4.98E-12,TRUE,8,270,12,272
mul_q5.qasm,5,12,10,128.8,2.35E-12,TRUE,12,283,13,281
qaoa_q5-1.qasm,5,20,20,1593.07,0.119,FALSE,20,307,22,13579
qft4.qasm,4,14,12,102.25,2.09E-11,TRUE,14,117,15,94
tfim-4-22.qasm,4,11,10,42.12,2.26E-12,TRUE,11,108,12,10
tfim-4-80.qasm,4,18,12,146.99,1.13E-10,TRUE,18,178,12,11
vqe.qasm,5,13,13,643.8,0.0424,FALSE,13,8084,17,1184
