circuit,qubits,two_qbit_original,two_qbit_compressed,gate_num_compiled,time_s,error
adder_n4.qasm,4,10,8,28,182.65,3.84e-12
basis_change_n3.qasm,3,10,6,21,2.94,1.33e-11
basis_test_n4.qasm,4,46,8,28,645.97,1.24e-11
bell_n4.qasm,4,7,5,19,19.40,3.27e-13
deutsch_n2.qasm,2,1,1,5,0.00,6.66e-16
dnn_n2.qasm,2,42,3,11,1.20,5.09e-12
error_correctiond3_n5.qasm,5,49,6,23,659.39,3.67e-12
fredkin_n3.qasm,3,8,7,24,10.67,5.94e-12
grover_n2.qasm,2,2,2,8,0.05,1.78e-15
hs4_n4.qasm,4,4,4,16,0.29,3.55e-15
iswap_n2.qasm,2,2,2,8,0.05,8.88e-16
linearsolver_n3.qasm,3,4,4,15,0.74,2.00e-15
lpn_n5.qasm,5,2,2,11,0.14,4.44e-16
qaoa_n3.qasm,3,6,4,15,1.06,1.65e-11
adder_n4.qasm,4,10,9,31,25.92,5.78e-14
basis_change_n3.qasm,3,10,7,24,18.18,6.55e-15
adder_n4.qasm,4,10,8,28,483.26,3.04e-13
basis_change_n3.qasm,3,10,6,21,7.63,4.04e-11
basis_test_n4.qasm,4,46,8,28,716.22,3.49e-14
bell_n4.qasm,4,7,5,19,41.11,6.97e-12
deutsch_n2.qasm,2,1,1,5,0.00,6.66e-16
dnn_n2.qasm,2,42,3,11,1.25,1.13e-11
error_correctiond3_n5.qasm,5,49,6,23,613.09,1.43e-13
fredkin_n3.qasm,3,8,7,24,20.75,2.27e-11
grover_n2.qasm,2,2,2,8,0.04,2.58e-11
hs4_n4.qasm,4,4,4,16,0.31,5.21e-13
iswap_n2.qasm,2,2,2,8,0.05,3.29e-12
linearsolver_n3.qasm,3,4,4,15,1.75,3.56e-13
lpn_n5.qasm,5,2,2,11,0.14,4.44e-16
qaoa_n3.qasm,3,6,4,15,1.98,3.87e-14
qft_n4.qasm,4,6,11,37,1234.30,4.82e-13
quantumwalks_n2.qasm,2,3,2,8,0.01,5.59e-11
variational_n4.qasm,4,16,8,28,589.86,1.90e-14
vqe_n4.qasm,4,9,9,31,659.68,5.58e-01
vqe_uccsd_n4.qasm,4,88,21,67,16304.81,1.53e-09
wstate_n3.qasm,3,3,6,21,9.35,2.42e-11
