circuit,qubits,two_qbit_original,two_qbit_compressed,gate_num_compiled,time_s,error
adder_n4.qasm,4,10,7,25,759.47,3.05e-12
basis_change_n3.qasm,3,10,6,21,3.39,4.19e-11
basis_test_n4.qasm,4,46,9,31,889.36,2.78e-13
bell_n4.qasm,4,7,5,19,22.64,5.77e-13
deutsch_n2.qasm,2,1,1,5,0.00,6.66e-16
dnn_n2.qasm,2,42,3,11,0.94,2.23e-12
error_correctiond3_n5.qasm,5,49,6,23,858.15,1.24e-14
fredkin_n3.qasm,3,8,7,24,28.50,4.76e-13
grover_n2.qasm,2,2,2,8,0.05,9.27e-13
hs4_n4.qasm,4,4,4,16,0.31,9.19e-14
iswap_n2.qasm,2,2,2,8,0.05,1.83e-12
linearsolver_n3.qasm,3,4,4,15,0.17,2.96e-13
lpn_n5.qasm,5,2,2,11,0.14,4.44e-16
qaoa_n3.qasm,3,6,4,15,0.41,5.38e-14
qft_n4.qasm,4,6,11,37,1793.74,6.55e-14
quantumwalks_n2.qasm,2,3,2,8,0.01,5.59e-11
variational_n4.qasm,4,16,8,28,695.19,8.17e-14
vqe_n4.qasm,4,9,9,31,614.53,4.08e-12
vqe_uccsd_n4.qasm,4,88,24,76,14395.21,6.77e-10
wstate_n3.qasm,3,3,6,21,3.77,3.03e-11
adder_n4.qasm,4,10,7,25,417.13,4.71e-12
basis_change_n3.qasm,3,10,6,21,1.86,1.94e-11
basis_test_n4.qasm,4,46,8,28,494.87,4.60e-12
bell_n4.qasm,4,7,5,19,20.13,1.47e-11
deutsch_n2.qasm,2,1,1,5,0.00,6.66e-16
dnn_n2.qasm,2,42,3,11,1.13,3.98e-12
error_correctiond3_n5.qasm,5,49,7,26,992.51,1.09e-10
fredkin_n3.qasm,3,8,7,24,107.24,2.34e-11
grover_n2.qasm,2,2,2,8,0.01,1.49e-13
hs4_n4.qasm,4,4,4,16,0.05,5.81e-12
iswap_n2.qasm,2,2,2,8,0.01,6.49e-13
linearsolver_n3.qasm,3,4,4,15,0.06,3.10e-11
lpn_n5.qasm,5,2,2,11,0.02,4.44e-16
qaoa_n3.qasm,3,6,4,15,0.18,1.36e-11
3_17_13.qasm,3,17,7,24,89.50,1.54e-11
4gt13-v1_93.qasm,5,30,16,53,2442.20,1.02e-12
4gt13_91.qasm,5,49,24,77,8571.32,1.20e-12
