circuit,qubits,cnot_original,cnot_compiled,compilation_time_s,error
3_17_13.qasm,3,9,7,5.88,5.62E-11
4gt11_82.qasm,5,15,13,623.18,6.52E-12
4gt11_83.qasm,5,13,11,345.44,5.02E-13
4gt11_84.qasm,5,9,9,217.33,0.146
4gt13-v1_93.qasm,5,26,21,2617.01,6.61E-12
4gt13_91.qasm,5,26,23,3990.97,1.07E-11
4gt13_92.qasm,5,24,21,3040.93,7E-11
4gt5_75.qasm,5,25,25,9099.68,2.19E-11
4gt5_76.qasm,5,22,22,5095.66,0.0381
4gt5_77.qasm,5,17,17,2232.1,0.219
4mod5-v0_18.qasm,5,17,16,976.58,4.37E-13
4mod5-v0_19.qasm,5,17,9,53.38,9.41E-12
4mod5-v0_20.qasm,5,9,7,79.85,4.43E-14
4mod5-v1_22.qasm,5,9,8,143.16,9.72E-13
4mod5-v1_23.qasm,5,13,13,587.09,0.271
4mod5-v1_24.qasm,5,31,16,208.61,3.78E-11
4mod7-v1_96.qasm,5,26,26,14246.38,0.0179
adder_q4.qasm,4,8,8,90.88,2.69E-11
decod24-v0_38.qasm,4,14,10,70.52,3.29E-13
decod24-v1_41.qasm,5,18,18,2554.1,0.173
decod24-v2_43.qasm,4,9,9,155.06,0.229
hlf_q5.qasm,5,8,8,76.85,5.51E-13
mul_q5.qasm,5,12,11,250.8,3.56E-12
qaoa_q5-1.qasm,5,20,20,1812.72,0.119
qft4.qasm,4,14,14,407.82,0.0381
tfim-4-22.qasm,4,11,10,182.96,1.79E-13
tfim-4-80.qasm,4,18,12,121.34,2.99E-12
vqe.qasm,5,13,13,1370.81,0.189
