circuit,qubits,two_qbit_original,two_qbit_compiled,compilation_time_s,error
barenco_tof_3.qasm,5,24,15,50,5230.38,1.44e-01
barenco_tof_3.qasm,5,24,14,47,5607.75,3.73e-13
mod5_4.qasm,5,28,13,96,1461.67,4.38e-01
barenco_tof_3.qasm,5,24,14,47,4513.41,3.23e-11
barenco_tof_3.qasm,5,24,16,53,2063.68,7.77e-13
barenco_tof_3.qasm,5,24,16,53,963.29,5.66e-11
3_17_13.qasm,3,9,7,24,5.05,2.95e-11
adder_q4.qasm,4,8,8,28,69.25,4.24e-11
3_17_13.qasm,3,9,8,27,12.67,1.36e-11
3_17_13.qasm,3,9,7,24,4.78,1.09e-11
adder_q4.qasm,4,8,8,28,81.34,5.16e-12
full_adder_nativegates_ibm_eagle_opt2_4.qasm,4,10,8,28,100.87,1.27e-12
3_17_13.qasm,3,9,7,7,24,22.14,7.85,1.95e-12
3_17_13.qasm,3,9,2,9,0.01,7.19e-01
3_17_13.qasm,3,9,2,9,0.01,7.19e-01
3_17_13.qasm,3,9,7,24,167.93,3.50e-12
3_17_13.qasm,3,9,2,9,0.01,7.19e-01
3_17_13.qasm,3,9,2,9,0.01,7.19e-01
3_17_13.qasm,3,9,7,24,110.38,1.30e-11
3_17_13.qasm,3,9,7,24,104.52,7.65e-11
3_17_13.qasm,3,9,7,24,86.11,1.68e-12
3_17_13.qasm,3,9,7,24,100.98,4.20e-11
3_17_13.qasm,3,9,7,24,96.11,6.34e-11
3_17_13.qasm,3,9,7,24,81.09,7.79e-12
3_17_13.qasm,3,9,7,24,103.18,2.62e-12
3_17_13.qasm,3,9,7,24,138.00,1.18e-12
