circuit,qubits,two_qbit_original,two_qbit_compiled,compilation_time_s,error
3_17_13.qasm,3,9,7,1.41,2.64e-12
3_17_13.qasm,3,9,9,3.43,4.47e-10
3_17_13.qasm,3,9,10,9.90,1.43e-11
4gt11_82.qasm,5,15,24,3479.23,5.64e-11
4gt11_83.qasm,5,13,11,36.10,5.97e-12
4gt11_84.qasm,5,9,11,45.18,2.34e-11
3_17_13.qasm,3,9,0,29.87,5.95e-01
4gt11_82.qasm,5,15,18,867.13,3.36e-11
3_17_13.qasm,3,9,10,6.80,2.66e-11
4gt11_82.qasm,5,15,19,1286.17,2.93e-01
4gt11_83.qasm,5,13,11,38.58,7.61e-02
4gt11_84.qasm,5,9,11,119.36,4.24e-10
